DENOMINACION;FINANCIAMIENTO;CATEGORIA;NOMBRE AUTORIDAD;TELEFONO INSTITUCIONAL;CORREO ELECTRONICO;PROVINCIA;CIUDAD;DIRECCION
UNIVERSIDAD TECNICA ESTATAL DE QUEVEDO;PUBLICA;B;ROQUE LUIS VIVAS MOREIRA;"(05) 2754542/ 275
7463/275 0320";rector@uteq.edu.ec;LOS RIOS;QUEVEDO;CAMPUS INGENIERO MANUEL HAZ ALVAREZ, AV. QUITO KM 1 1/2 VIA SANTO DOMINGO
UNIVERSIDAD TECNICA DEL NORTE;PUBLICA;B;MIGUEL EDMUNDO NARANJO TORO;06 2997800 ext. 7013;rectorado@utn.edu.ec;IMBABURA;IBARRA;"AV. 17 DE JULIO CDLA
UNIVERSITARIA BARRIO EL OLIVO"
"UNIVERSIDAD LAICA ELOY
ALFARO DE MANABI";PUBLICA;D;"MEDARDO ALFONSO
MORA SOLORZANO";"05 2 623009, 625095, ext.
101, 102";ndelgado@uleam.edu.ec;MANABI;MANTA;"CDLA UNIVERSITARIA VIA A
SAN MATEO"
UNIVERSIDAD ESTATAL DE BOLIVAR;PUBLICA;C;DIOMEDES GUADALUPE NU�EZ MINAYA;"032206014 ext. 1102,
2206059/ EXT 1101";info@ubolivar.edu.ec;BOLIVAR;GUARANDA;AV. ERNESTO CHE GUEVARA S/N Y GABRIEL SECAIRA
UNIVERSIDAD AGRARIA DEL ECUADOR;PUBLICA;D;MARTHA RINA BUCARAM LEVERONE;"04 2 493441 - 2439995 -
2439394";info@uagraria.edu.ec;GUAYAS;GUAYAQUIL;GUAYAQUIL: AV. 25 DE JULIO Y JUAN PIO JARAMILLO VIA PUERTO MARITIMO.
UNIVERSIDAD NACIONAL DE CHIMBORAZO;PUBLICA;C;MARIA ANGELICA BARBA MAGGI;(03) 373-0880;rectorado@unach.edu.ec;CHIMBORAZO;RIOBAMBA;"CAMPUS EDISON RIERA R.: AV. ANTONIO JOSE DE SUCRE KM. 11/2 VIA A GUANO; CAMPUS UNIVERSITARIO LA DOLOROSA: AV. ELOY ALFARO Y 10 DE AGOSTO"
UNIVERSIDAD TECNICA DE COTOPAXI;PUBLICA;C;HERNAN RAFAEL YANEZ AVILA;"03 2252205 / 2252307 /
2252346, ext. 102,
rectorado 103";rectorado@utc.edu.ec;COTOPAXI;LATACUNGA;"AV. SIMON RODRIGUEZ S/N BARRIO EL EJIDO SECTOR SAN
FELIPE"
ESCUELA SUPERIOR POLITECNICA DEL LITORAL;PUBLICA;A;SERGIO ELOY  FLORES MACIAS;04 2269100/101;rector@espol.edu.ec;GUAYAS;GUAYAQUIL;CAMPUS PROSPERINA KM 30 1/2, VIA PERIMETRAL. CAMPUS LAS PE�AS MALECON Y LOJA. CAMPUS CENAIM, SAN PEDRO DE MANGLAR ALTO. CAMPUS SANTA ELENA. GUAYAQUIL Y 9 DE OCTUBRE. CAMPUS DAULE, KM. 5 VIA SANTA LUCIA.
UNIVERSIDAD ANDINA SIMON BOLIVAR;PUBLICA;A;MANUEL ENRIQUE ALEJANDRO AYALA MORA;"322 8083, 299 3604, 322
8100 EXT. 1139";rector@uasb.edu.ec;PICHINCHA;QUITO;TOLEDO N22-80
"UNIVERSIDAD ESTATAL
PENINSULA DE SANTA ELENA";PUBLICA;C;"JAIME ENRIQUE JIMMY
CANDELL SOTO";"04 2-781732 ext. 110 / 2-
781738";rectorado@upse.edu.ec;SANTA ELENA;LA LIBERTAD;"VIA LA LIBERTAD - SANTA
ELENA"
UNIVERSIDAD ESTATAL DE MILAGRO;PUBLICA;B;WASHINGTON JAIME OROZCO HERNANDEZ;"042974319,
2970881,042974317 ext.
3103";rectorado@unemi.edu.ec;GUAYAS;MILAGRO;KM 1.5 VIA MILAGRO KM 26
UNIVERSIDAD ESTATAL DEL SUR DE MANABI;PUBLICA;D;BLANCA SOLEDAD INDACOCHEA GANCHOZO;"05-2602237, ext.  05 2 600
229";rectoraunesum.e@hotmail.com;MANABI;JIPIJAPA;CALLE SANTIESTEBAN ENTRE ALEJO LASCANO Y MEJIA. CAMPUS UNIVERSITARIO KM 1 1/2 VIA A NOBOA-JIPIJAPA
FACULTAD LATINOAMERICANA DE CIENCIAS SOCIALES;PUBLICA;A;JUAN ELIAS PONCE JARRIN;3238888, ext. 2901;flacso@flacso.org.ec;PICHINCHA;QUITO;LA PRADERA E7 - 126 Y DIEGO DE ALMAGRO
PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR;PARTICULAR COFINANCIADA;B;MANUEL  CORRALES PASCUAL;02 299 17 00;mcorrales@puce.edu.ec;PICHINCHA;QUITO;AV. 12 DE OCTUBRE 1076 ENTRE PATRIA Y VEINTIMILLA
UNIVERSIDAD CATOLICA DE SANTIAGO DE GUAYAQUIL;PARTICULAR COFINANCIADA;B;LINO MAURO TOSCANINI SEGALE;"04 2206943- 206950 -
2206951 - 2206952 -
2206953 - 2206957 -
2209210 - 2202934";lino.toscanini@cu.ucsg.edu.ec;GUAYAS;GUAYAQUIL;AVENIDA  CARLOS JULIO AROSEMENA KM 11/2 VIA A DAULE
UNIVERSIDAD CATOLICA DE CUENCA;PARTICULAR COFINANCIADA;D;ENRIQUE EUGENIO POZO CABRERA;"(07) 2 830 751 , 2825435 /
07-2834037 / 07-2839188";epozo@ucacue.edu.ec;AZUAY;CUENCA;HUMBOLDT Y AV. DE LAS AMERICAS
UNIVERSIDAD LAICA VICENTE ROCAFUERTE DE GUAYAQUIL;PARTICULAR COFINANCIADA;C;JORGE BERNARDINO TORRES PRIETO;"042 287200 (ext. 212) -
2397182, 042 287200";jtorresp@ulvr.edu.ec;GUAYAS;GUAYAQUIL;AV. DE LAS AMERICAS, FRENTE AL CUARTEL MODELO
UNIVERSIDAD TECNICA PARTICULAR DE LOJA;PARTICULAR COFINANCIADA;B;JOSE BARBOSA CORBACHO;"07 2570275/ 2 588 730 Ext.
2215";jbarbosa@utpl.edu.ec;LOJA;LOJA;MARCELINO CHAMPAGNAT, SAN CAYETANO ALTO
"UNIVERSIDAD TECNOLOGICA
EQUINOCCIAL";"PARTICULAR
COFINANCIADA";B;"JOSE JULIO CEVALLOS
GOMEZ";"2 244-6233 / (593) 2 299-
0800, Ext. 2103/4";jcevallo@ute.edu.ec;PICHINCHA;QUITO;"RUMIPAMBA S/N Y AV.
ATAHUALPA"
UNIVERSIDAD DEL AZUAY;"PARTICULAR
COFINANCIADA";B;"CARLOS IVAN CORDERO
DIAZ";07 409 1000 ext. 151;rectorado@uazuay.edu.ec;AZUAY;CUENCA;"CUENCA, AV. 24 DE MAYO No.
7-77  Y HERNAN MALO."
UNIVERSIDAD POLITECNICA SALESIANA;PARTICULAR COFINANCIADA;B;JAVIER HERRAN GOMEZ;"3962868, 02 3962900/
3962800";jherran@ups.edu.ec;AZUAY;CUENCA;"MATRIZ EN CUENCA: TURUHUAYCO 369 Y CALLE VIEJA - QUITO: AV. 12 DE OCTUBRE N-2422 Y WILSON - GUAYAQUIL: ROBLES 107 Y
CHAMBERS"
UNIVERSIDAD PARTICULAR INTERNACIONAL SEK;PARTICULAR AUTOFINANCIADA;B;RODOLFO CEPRIAN MOLINA;2223688/9 EXT. 304;uisek.jm@uisek.edu.ec;PICHINCHA;QUITO;"CAMPUS JUAN MONTALVO: CALLE FRAY FRANCISCO COMPTE Y CRUZ DE PIEDRA; CAMPUS MIGUEL DE CERVANTES: ALBERTO EINSTEIN, S/N Y 5TA
TRANSVERSAL - CARCELEN"
UNIVERSIDAD PARTICULAR DE ESPECIALIDADES ESPIRITU SANTO;PARTICULAR AUTOFINANCIADA;C;JOAQUIN ENRIQUE HERNANDEZ ALVARADO;"042835230/04-2835630/04-
2835643 Ext. 134";uees@uees.edu.ec;GUAYAS;SAMBOROND ON;VIA PUNTILLA SAMBORONDON, KM 2 1/2, CIUDADELA TORNERO III
UNIVERSIDAD SAN FRANCISCO DE QUITO;PARTICULAR AUTOFINANCIADA;A;SANTIAGO EMILIO GANGOTENA GONZALEZ;2 971-801/2;registro@usfq.edu.ec;PICHINCHA;QUITO;DIEGO DE ROBLES Y PAMPITE - VIA INTEROCEANICA, CIRCULO DE CUMBAYA
UNIVERSIDAD DE LAS AMERICAS;"PARTICULAR
AUTOFINANCIADA";C;"CARLOS ALFONSO
LARREATEGUI NARDI";"3981000 / 3970000 EXT.
109";garboleda@ @udla.edu.ec;PICHINCHA;QUITO;"AV. GRANADOS E12-41 Y
COLIMES"
UNIVERSIDAD INTERNACIONAL DEL ECUADOR;PARTICULAR AUTOFINANCIADA;C;XAVIER FERNANDEZ ORRANTIA;2985600, ext. 2103;informa@internacional.edu.ec;PICHINCHA;QUITO;KM. 3 AV. SIMON BOLIVAR, COLLACOTO
UNIVERSIDAD REGIONAL AUTONOMA DE LOS ANDES (UNIANDES);PARTICULAR AUTOFINANCIADA;C;CORONA EMPERATRIZ GOMEZ ARMIJOS;"03 2488 028/ 03 2488 029/
03 2488 042/03 2488 077";rectorado@uniandesmail.edu.ec;TUNGURAHUA;AMBATO;"AMBATO: KM 5 1/2 VIA A BA�OS BARRIO CRISTAL; QUEVEDO: KM. 4 1/2 VIA A VALENCIA SECTOR LA VICTORIA; TULCAN: BARRIO SANTA ROSA TAQUEZ TRAS DEL CUARTEL; IBARRA: FLORES 269 Y SALINAS SECTOR CENTRO; PUYO: 9 DE OCTUBRE Y FRANCISCO DE ORELLANA; BABAHOYO: AV. JORGE VILLEGAS Y TERCERA TRANSVERSAL; RIOBAMBA: AVENIDA JOSE LIZARZABURU 885 Y JOAQUIN PINTO; SANTO DOMINGO: AV. LA LORENA KM 2 1/2 Y AV. DEL COOPERATIVISMO"
UNIVERSIDAD DEL PACIFICO - ESCUELA DE NEGOCIOS;PARTICULAR AUTOFINANCIADA;C;SONIA ADELINA ROCA DE CASTRO;"Guayaquil: 04 287 3977,
ext. 122, 042873983, Quito,
2272477,2272481,
2444509, 2444510";info@upacifico.edu.ec;GUAYAS;GUAYAQUIL;"GUAYAQUIL: KM 7 Y MEDIO, VIA A LA COSTA. QUITO: EL PINAR ALTO, CALLE B NO. 48-
177. CUENCA: CARLOS ARIZAGA TORAL S/N Y LUIS MOSCOSO"
UNIVERSIDAD TECNOLOGICA INDOAMERICA;PARTICULAR AUTOFINANCIADA;B;DIEGO HUDBERTO LARA PAREDES (e );"03 2421 713 /452 /  985
Ext. 118 109, 127";indoamerica@uti.edu.ec;TUNGURAHUA;AMBATO;"BOLIVAR 20-35 ENTRE QUITO Y GUAYAQUIL: EXTENSION QUITO: MACHALA Y
SABANILLA"
UNIVERSIDAD CASA GRANDE;PARTICULAR AUTOFINANCIADA;B;MARCIA LEONOR GILBERT BAQUERIZO;04-2202180;relacionespblicas@casagrande.edu.ec;GUAYAS;GUAYAQUIL;"AV. LAS PALMAS NO.304 Y
CALLE CUARTA, CDLA. MIRAFLORES"
"UNIVERSIDAD TECNOLOGICA
EMPRESARIAL DE GUAYAQUIL";"PARTICULAR
AUTOFINANCIADA";B;"GALO ERNESTO
CABANILLA GUERRA";"04 2388 348/ 2884 833 ext.
8";info@uteg.edu.ec;GUAYAS;GUAYAQUIL;"GUAYACANES 520 Y LA
QUINTA - URDESA CENTRAL"
UNIVERSIDAD TECNOLOGICA ISRAEL;PARTICULAR AUTOFINANCIADA;C;RENE CEFERINO CORTIJO JACOMINO;2555-741 Ext. 124;info@uisrael.edu.ec;PICHINCHA;QUITO;"MATRIZ QUITO: FCO.PIZARRO E4-142 Y ORELLANA; CAMPUS NOROCCIDENTAL: URB. PASEO DE OCCIDENTAL CALLE A Y CALLE 2"
UNIVERSIDAD DE ESPECIALIDADES TURISTICAS;PARTICULAR AUTOFINANCIADA;C;MARIA DE LOURDES JARRIN ROJAS;6020788;info@uct.edu.ec;PICHINCHA;QUITO;"MACHALA OE6-160 ENTRE AV.OCCIDENTAL Y JOSE
CARRION"
UNIVERSIDAD METROPOLITANA;PARTICULAR AUTOFINANCIADA;C;CARLOS XAVIER ESPINOSA CORDERO;04-6026608 / 04-6026609;cespinoza@umet.edu.ec;GUAYAS;GUAYAQUIL;"DOMICILIO PRINCIPAL GUAYAQUIL - CIUDADELA GARZOTA PRIMERA ETAPA MANZANA 23 SOLARES 7 Y 8, AV. MIGUEL H. JIJON Y AV. GUILLERMO PAREJA ROLANDO.
- SEDE QUITO: (AV. CORU�A N26-95 Y SAN IGNACIO). - SEDE MACHALA: OFICINAS ADMINISTRATIVAS: JUNIN 609 ENTRE JUNIN Y TARQUI; CAMPUS PAJONAL: VIA PAJONAL KM. 1 1/2"
INSTITUTO DE ALTOS ESTUDIOS NACIONALES;PUBLICA;B;GUILLAUME JEAN SEBASTIAN LONG (e);382-9900, ext., 314;infoiaen@iaen.edu.ec;PICHINCHA;QUITO;AV. AMAZONAS NO. 37 - 271 Y VILLALENGUA ESQUINA
"UNIVERSIDAD ESTATAL
AMAZONICA";PUBLICA;B;"JULIO CESAR VARGAS
BURGOS";(032)  889 -118, ext. 101;info@uea.edu.ec;PASTAZA;PUYO;"VIA NAPO KM. 2.5 PASO
LATERAL S/N"
UNIVERSIDAD DE OTAVALO;"PARTICULAR
AUTOFINANCIADA";D;"LUIS ALBERTO ACOSTA
ESTRADA";"(06) 2923-850, 2920-009
ext. 116, 113";info@uotavalo.edu.ec;IMBABURA;OTAVALO;"AVDA. LOS SARANCES S/N Y
PENDONEROS"
UNIVERSIDAD PARTICULAR SAN GREGORIO DE PORTOVIEJO;PARTICULAR AUTOFINANCIADA;C;XIMENA SAYONARA GUILLEN VIVAS;"05 293 5002 ext. 102 / 293
1259 / 293 4648";info@sangregorio.edu.ec;MANABI;PORTOVIEJO;"AV. METROPOLITANA ELOY ALFARO N.2005 Y AV. OLIMPICA PORTOVIEJO-
MANABI"
UNIVERSIDAD DE LOS HEMISFERIOS;PARTICULAR AUTOFINANCIADA;B;ALEJANDRO RIBADENEIRA ESPINOSA;23828670;info@uhemisferio.edu.ec;PICHINCHA;QUITO;"PASEO DE LA UNIVERSIDAD NRO. 300 Y JUAN DIAZ URB.
I�AQUITO ALTO"
UNIVERSIDAD IBEROAMERICANA DEL ECUADOR;PARTICULAR AUTOFINANCIADA;B;JAIME CRISTOBAL CASTRO SEGOVIA;"2903571/2/3, 2555656 �
2555657 � 2555658";info@unibe.edu.ec;PICHINCHA;QUITO;"CAMPUS NORTE: 9 DE OCTUBRE 1134 Y SANTA
MARIA"
"UNIVERSIDAD POLITECNICA
ESTATAL DE CARCHI";PUBLICA;B;"HUGO MILTON RUIZ
ENRIQUEZ";"06 2 224 079 / 06 2 224 080
/ 06 2 224 081";"info@uea.edu.ec;";CARCHI;TULCAN;"AV. UNIVERSITARIA Y
ANTISANA S/N"
UNIVERSIDAD TECNOLOGICA ECOTEC;PARTICULAR AUTOFINANCIADA;C;FIDEL MARQUEZ SANCHEZ;04-3723400, ext. 408;info@universidadecotec.edu.ec;GUAYAS;GUAYAQUIL;"CANTON GUAYAQUIL, PROVINCIA DEL GUAYAS, AVDA. JUAN TANCA MARENGO KM2 /KM1 DE LA VIA A SAMBORONDON SECTOR LA
PUNTILLA"
UNIVERSIDAD DE LAS FUERZAS ARMADAS (ESPE);PUBLICA;A;ROQUE APOLINAR MOREIRA CEDE�O;"Directo 02 3989457,
3989400 EXT. 3950";espe@espe.edu.ec;PICHINCHA;SANGOLQUI;"CAMPUS POLITECNICO, AV. EL PROGRESO S/N, SANTA CLARA SANGOLQUI. EXTENSION LATACUNGA: QUIJANO Y ORDO�EZ Y MARQUEZ DE
MAENZA."
"UNIVERSIDAD REGIONAL AMAZONICA IKIAM
AMAZONICA IKIAM";PUBLICA;;"CESAR LEONARDO
VALENCIA ZAMBRANO";"(02) 3946800, ext. 1805,
1771";info@universidadikiam.com.ec;NAPO;TENA;"DIRECCION AV. PATRIA Y AV.10
DE AGOSTO"
UNIVERSIDAD DE INVESTIGACION DE TECNOLOGIA EXPERIMENTAL YACHAY;PUBLICA;;FERNANDO ALBERICIO;(02) 3949100 EXT. 150;;IMBABURA;URCUQUI;SAN MIGUEL DE URCUQUI 100119- YACHAY YP- CIUDAD DEL CONOCIMIENTO
UNIVERSIDAD DE LAS ARTES;PUBLICA;;VERONICA MORENO SALTOS;InformaciOn en Quito:3814550 - Ext. 3005,6,7,8,9;info@uartes.edu.ec;GUAYAS;GUAYAQUIL;MALECON Y AGUIRRE - MUSEO NAHIM ISAIAS (EDIFICIO DE LA GOBERNACION DEL GUAYAS)
UNIVERSIDAD NACIONAL DE EDUCACION UNAE;PUBLICA;;JORGE ANDRES MI�O APUNTE;"(7) 3701200 - 2214601/ 2-
396-1300 / 1400 / 1500";unaecuador@gmail.com.;CA�AR;AZOGUES;"CHUQUIPATA KM. 8 PANAMERICANA SUR, CANTON
AZOGUEZ."
